condition_id,a,c,eta,regime,policy,p_ever_unstable,p_ever_unstable_low,p_ever_unstable_high,median_first_instability,mean_terminal_psi,sem_terminal_psi,mean_intervention_rate
4,0.2,0.01,0.22863359824609483,threshold_adjacent,adaptive,0.0,0.0,0.012642971224546036,,0.10407252405638318,0.00045811360609187776,0.42730555555555555
4,0.2,0.01,0.22863359824609483,threshold_adjacent,passive,0.0,0.0,0.012642971224546036,,0.01947638802739749,0.000199524287838953,0.0
4,0.2,0.01,0.22863359824609483,threshold_adjacent,scheduled,0.0,0.0,0.012642971224546036,,0.1058867871773412,0.00019219409660069126,0.4249999999999999
5,0.2,0.02,0.25365168539325844,stressed,adaptive,0.0,0.0,0.012642971224546036,,0.05493066286533765,0.0004711316913955833,0.44022222222222224
5,0.2,0.02,0.25365168539325844,stressed,passive,1.0,0.9873570287754538,0.9999999999999998,103.0,-0.04783712924104311,0.00019844374433461884,0.0
5,0.2,0.02,0.25365168539325844,stressed,scheduled,0.0,0.0,0.012642971224546036,,0.04270761351340591,0.00019737726792949,0.4416666666666666
5,0.2,0.02,0.21365168539325843,threshold_adjacent,adaptive,0.0,0.0,0.012642971224546036,,0.10392631347302604,0.00046578327771582727,0.4287222222222222
5,0.2,0.02,0.21365168539325843,threshold_adjacent,passive,0.0,0.0,0.012642971224546036,,0.019961863679707096,0.00020644268695900914,0.0
5,0.2,0.02,0.21365168539325843,threshold_adjacent,scheduled,0.0,0.0,0.012642971224546036,,0.10627751541987926,0.0001972798427579918,0.4249999999999999
6,0.2,0.03,0.23903833443489758,stressed,adaptive,0.0,0.0,0.012642971224546036,,0.05470004997709856,0.0004632859057151484,0.43994444444444447
6,0.2,0.03,0.23903833443489758,stressed,passive,1.0,0.9873570287754538,0.9999999999999998,103.0,-0.048322620325237854,0.00019381408260110662,0.0
6,0.2,0.03,0.23903833443489758,stressed,scheduled,0.0,0.0,0.012642971224546036,,0.042734801911462485,0.00019920325802812958,0.4416666666666666
6,0.2,0.03,0.19903833443489757,threshold_adjacent,adaptive,0.0,0.0,0.012642971224546036,,0.10416678640667139,0.0004518181672635888,0.42911111111111105
6,0.2,0.03,0.19903833443489757,threshold_adjacent,passive,0.0,0.0,0.012642971224546036,,0.020263151541925886,0.00020428133282993836,0.0
6,0.2,0.03,0.19903833443489757,threshold_adjacent,scheduled,0.0,0.0,0.012642971224546036,,0.10660474677614445,0.00020093330356125383,0.4249999999999999
7,0.2,0.05,0.2097915434654051,stressed,adaptive,0.0,0.0,0.012642971224546036,,0.054594387118100066,0.0004734475682580224,0.44227777777777777
